trade,datetime_utc,symbol,buy_exchange,sell_exchange,buy_price,sell_price,qty,latency_cost,gross_pnl,net_pnl,cumulative_pnl
14,2025-02-03 15:23:00,SOL/USDT,C2C1,C2C2,203.862625,204.552750,246.17622375,20.1084,129.6754,122.4363,1883.3519
15,2025-02-04 05:16:00,SOL/USDT,C2C2,C2C1,208.179657,208.783768,241.13009644,20.1085,105.4523,98.2133,1981.5652
16,2025-02-21 17:40:00,ETH/USDT,C2C2,C2C1,2656.508545,2659.947021,18.90007019,20.0963,24.7949,17.5602,1999.1254
17,2025-02-24 22:03:00,SOL/USDT,C2C2,C2C1,145.546829,148.396072,344.97454834,20.2806,942.3553,935.0543,2934.1797
18,2025-02-26 20:21:00,BTC/USDT,C2C1,C2C2,82347.375000,82800.804688,0.61086917,20.1768,236.6326,229.3690,3163.5486
19,2025-02-26 20:21:00,ETH/USDT,C2C1,C2C2,2261.091797,2275.955811,22.25757217,20.1967,290.4434,283.1726,3446.7212
20,2025-03-02 17:04:00,ETH/USDT,C2C2,C2C1,2398.858398,2411.690918,20.99112511,20.1958,228.9775,221.7070,3668.4282
21,2025-03-03 18:34:00,ETH/USDT,C2C1,C2C2,2212.187744,2215.528320,22.77243805,20.1660,35.7411,28.4814,3696.9097
22,2025-03-28 13:43:00,ETH/USDT,C2C2,C2C1,1896.016479,1897.730957,26.57137108,20.1610,5.2340,-2.0240,3694.8857
23,2025-04-02 20:15:00,BTC/USDT,C2C1,C2C2,87331.710938,87702.578125,0.57687587,20.1946,173.5551,166.2850,3861.1709
24,2025-04-02 20:15:00,SOL/USDT,C2C1,C2C2,132.092407,133.610428,381.52221680,20.2743,538.6100,531.3112,4392.4819
25,2025-04-08 13:41:00,BTC/USDT,C2C1,C2C2,79652.648438,79696.789062,0.63336664,20.1853,-12.4134,-19.6802,4372.8018
26,2025-05-23 11:49:00,ETH/USDT,C2C1,C2C2,2593.774658,2596.421631,19.44940186,20.1892,11.1036,3.8354,4376.6372
27,2025-05-23 11:52:00,BTC/USDT,C2C2,C2C1,109470.085938,109652.257812,0.46083584,20.1959,43.5596,36.2890,4412.9263
28,2025-05-23 11:52:00,SOL/USDT,C2C2,C2C1,179.064285,179.684158,281.75006104,20.2155,134.2183,126.9407,4539.8672
29,2025-07-22 05:14:00,ETH/USDT,C2C1,C2C2,3682.986816,3688.236816,13.70194149,20.2000,31.5352,24.2632,4564.1304
30,2025-08-14 12:35:00,BTC/USDT,C2C2,C2C1,118695.750000,119700.539062,0.42517528,20.2720,386.6674,379.3694,4943.5000
31,2025-08-29 12:31:00,BTC/USDT,C2C1,C2C2,110774.375000,111149.148438,0.45592165,20.2359,130.3954,123.1105,5066.6104
32,2025-09-22 06:01:00,SOL/USDT,C2C2,C2C1,223.146133,225.042389,226.38417053,20.2926,388.6971,381.3918,5448.0020
33,2025-10-10 21:18:00,ETH/USDT,C2C2,C2C1,3622.864746,3627.169678,13.95439816,20.2340,19.6048,12.3206,5460.3223
34,2025-10-10 21:21:00,SOL/USDT,C2C2,C2C1,130.711441,180.043900,386.77658081,24.0386,19032.5625,19023.9082,24484.2305
35,2025-10-10 22:46:00,ETH/USDT,C2C1,C2C2,3870.818115,3872.997559,13.55240822,20.9895,-12.4422,-19.9984,24464.2324
36,2025-10-10 22:50:00,ETH/USDT,C2C2,C2C1,3884.047607,3889.116211,13.50573158,20.9965,26.4623,18.9036,24483.1367
